Processes,Iteration,User_Time(s),System_Time(s),Elapsed_Time(s),Memory(KB)
1,1,0.20,0.40,0:03.45,20596
1,2,0.28,0.82,0:03.81,20096
1,3,0.27,0.72,0:03.79,22400
2,1,0.42,1.39,0:04.04,151524
2,2,0.38,1.23,0:03.68,151808
2,3,0.30,1.14,0:03.18,151548
4,1,0.41,1.06,0:05.08,151168
4,2,0.35,0.93,0:05.34,151548
4,3,0.33,1.14,0:04.83,151408
8,1,0.35,1.11,0:08.14,151552
8,2,0.37,1.17,0:07.75,151552
8,3,0.27,1.09,0:09.41,151404
16,1,0.10,0.11,0:00.29,9216
16,2,0.13,0.12,0:00.35,9344
16,3,0.10,0.09,0:00.29,9472
20,1,0.08,0.11,0:00.29,9472
20,2,0.09,0.09,0:00.23,11380
20,3,0.10,0.09,0:00.24,9600
