Threads,Iteration,User_Time(s),System_Time(s),Elapsed_Time(s),Memory(KB)
1,1,1.26,1.42,0:02.71,924484
1,2,1.49,1.28,0:02.80,924448
1,3,1.02,0.89,0:01.92,924448
2,1,1.41,1.16,0:02.43,924452
2,2,1.25,0.91,0:02.03,924452
2,3,1.25,0.89,0:02.00,924452
4,1,1.56,1.28,0:02.55,924460
4,2,1.33,0.93,0:01.94,924496
4,3,1.37,0.92,0:01.96,924460
8,1,1.92,1.28,0:02.83,924468
8,2,1.79,1.19,0:02.53,924480
8,3,1.57,1.09,0:02.32,924376
16,1,1.79,1.30,0:02.71,924352
16,2,1.59,1.28,0:02.53,924520
16,3,1.71,1.32,0:02.69,924468
20,1,1.64,1.15,0:02.44,924376
20,2,1.73,0.94,0:02.29,924248
20,3,1.91,1.28,0:02.81,924288
