Threads,Iteration,User_Time(s),System_Time(s),Elapsed_Time(s),Memory(KB)
1,1,2.94,1.76,0:04.77,12672
1,2,3.21,2.00,0:05.36,12544
1,3,2.72,1.64,0:04.41,12672
2,1,2.82,2.44,0:03.97,9216
2,2,3.91,2.62,0:05.01,9088
2,3,3.20,2.59,0:04.43,9216
4,1,3.67,3.91,0:04.69,8932
4,2,4.23,4.57,0:05.79,8880
4,3,5.11,4.63,0:06.22,9032
8,1,4.48,7.43,0:06.78,10232
8,2,6.19,11.25,0:09.69,9196
8,3,6.02,10.39,0:09.49,11036
16,1,8.02,21.85,0:15.89,11392
16,2,7.73,20.09,0:14.66,12476
16,3,7.37,19.55,0:14.31,11240
20,1,9.02,27.30,0:18.88,11344
20,2,9.10,21.64,0:16.46,11788
20,3,9.25,26.09,0:18.60,11828
